ds,id_pais,pred_neutro,pred_kpi2,pred_kpi3,pred_kpi4
2005-01-01,BRA,71.75329999999998,71.75329999999998,71.75329999999998,71.75329999999998
2006-01-01,BRA,72.03729999999996,72.03729999999996,72.03729999999996,72.03729999999996
2007-01-01,BRA,72.36529999999995,72.36529999999995,72.36529999999995,72.36529999999995
2008-01-01,BRA,72.71530000000001,72.71530000000001,72.71530000000001,72.71530000000001
2009-01-01,BRA,72.94840000000002,72.94840000000002,72.94840000000002,72.94840000000002
2010-01-01,BRA,73.1821,73.1821,73.1821,73.1821
2011-01-01,BRA,73.34320000000001,73.34320000000001,73.34320000000001,73.34320000000001
2012-01-01,BRA,73.5517,73.5517,73.5517,73.5517
2013-01-01,BRA,73.91849999999994,73.91849999999994,73.91849999999994,73.91849999999994
2014-01-01,BRA,74.30579999999996,74.30579999999996,74.30579999999996,74.30579999999996
2015-01-01,BRA,74.3325,74.3325,74.3325,74.3325
2016-01-01,BRA,74.44149999999999,74.44149999999999,74.44149999999999,74.44149999999999
2017-01-01,BRA,74.82660000000001,74.82660000000001,74.82660000000001,74.82660000000001
2018-01-01,BRA,75.10949999999997,75.10949999999997,75.10949999999997,75.10949999999997
2019-01-01,BRA,75.3379,75.3379,75.3379,75.3379
2019-12-31,BRA,73.67825025149367,72.75422996662233,72.41909125368811,63.66787801225444
2020-12-31,BRA,73.82523441075249,72.868910785182,72.53377207224777,63.50700223980864
2021-12-31,BRA,73.93445758386432,72.97451425449178,72.63937554155754,63.25531187343845
2022-12-31,BRA,73.96374288722251,72.95688998712887,72.62175127419465,62.991827615554556
2023-12-31,BRA,74.03503728515993,72.90601834238365,72.57087962944941,62.78087702340458
2024-12-31,BRA,74.09873739521475,72.90488739299963,72.5697486800654,62.57947710337901
2025-12-31,BRA,74.20595425763175,73.03267120138867,72.69753248845444,62.418741894537625
2000-01-01,CAN,79.23350000000002,79.23350000000002,79.23350000000002,79.23350000000002
2001-01-01,CAN,79.4507,79.4507,79.4507,79.4507
2002-01-01,CAN,79.56800000000001,79.56800000000001,79.56800000000001,79.56800000000001
2003-01-01,CAN,79.7396,79.7396,79.7396,79.7396
2004-01-01,CAN,80.03320000000001,80.03320000000001,80.03320000000001,80.03320000000001
2005-01-01,CAN,80.1364,80.1364,80.1364,80.1364
2006-01-01,CAN,80.5466,80.5466,80.5466,80.5466
2007-01-01,CAN,80.5495,80.5495,80.5495,80.5495
2008-01-01,CAN,80.7388,80.7388,80.7388,80.7388
2009-01-01,CAN,81.0737,81.0737,81.0737,81.0737
2010-01-01,CAN,81.3469,81.3469,81.3469,81.3469
2011-01-01,CAN,81.52859999999998,81.52859999999998,81.52859999999998,81.52859999999998
2012-01-01,CAN,81.72209999999998,81.72209999999998,81.72209999999998,81.72209999999998
2013-01-01,CAN,81.80289999999998,81.80289999999998,81.80289999999998,81.80289999999998
2014-01-01,CAN,81.85449999999999,81.85449999999999,81.85449999999999,81.85449999999999
2015-01-01,CAN,81.9246,81.9246,81.9246,81.9246
2016-01-01,CAN,82.04339999999999,82.04339999999999,82.04339999999999,82.04339999999999
2017-01-01,CAN,82.0192,82.0192,82.0192,82.0192
2018-01-01,CAN,82.05079999999998,82.05079999999998,82.05079999999998,82.05079999999998
2019-01-01,CAN,82.36279999999998,82.36279999999998,82.36279999999998,82.36279999999998
2019-12-31,CAN,82.8923900657628,82.8247414402332,82.75544390005447,81.05123480542679
2020-12-31,CAN,83.02817468870093,82.96118977569179,82.89189223551308,81.10568930083762
2021-12-31,CAN,83.14780485535138,83.08133665627427,83.01203911609556,81.14004385117693
2022-12-31,CAN,83.22043814790187,83.1561074649475,83.08680992476877,81.154020607891
2023-12-31,CAN,83.31644306929655,83.25181979979178,83.18252225961305,81.16117954949051
2024-12-31,CAN,83.4440364037082,83.38366251320643,83.31436497302771,81.19317151080675
2025-12-31,CAN,83.55742423315928,83.4942537792813,83.42495623910257,81.27524475657535
2000-01-01,CHL,76.78680823364913,76.78680823364913,76.78680823364913,76.78680823364913
2001-01-01,CHL,76.99176461349663,76.99176461349663,76.99176461349663,76.99176461349663
2002-01-01,CHL,77.2527223856564,77.2527223856564,77.2527223856564,77.2527223856564
2003-01-01,CHL,77.43705189667286,77.43705189667286,77.43705189667286,77.43705189667286
2004-01-01,CHL,77.70849488234394,77.70849488234394,77.70849488234394,77.70849488234394
2005-01-01,CHL,77.91059081071418,77.91059081071418,77.91059081071418,77.91059081071418
2006-01-01,CHL,78.12736401698135,78.12736401698135,78.12736401698135,78.12736401698135
2007-01-01,CHL,78.1428148980037,78.1428148980037,78.1428148980037,78.1428148980037
2008-01-01,CHL,78.31304516586306,78.31304516586306,78.31304516586306,78.31304516586306
2009-01-01,CHL,78.61663075276,78.61663075276,78.61663075276,78.61663075276
2010-01-01,CHL,78.637975465354,78.637975465354,78.637975465354,78.637975465354
2011-01-01,CHL,79.14138783565305,79.14138783565305,79.14138783565305,79.14138783565305
2012-01-01,CHL,79.07197162086429,79.07197162086429,79.07197162086429,79.07197162086429
2013-01-01,CHL,79.24996193409993,79.24996193409993,79.24996193409993,79.24996193409993
