DATASOURCE (code);PUBLISHSTATE (code);YEAR (code);REGION (code);COUNTRY (code);ALCOHOLTYPE (code);SA_0000001400 (string);SA_0000001400 (numeric);SA_0000001400 (low);SA_0000001400 (high);SA_0000001400 (comment)
GISAHBFA;PUBLISHED;2005;AFR;BFA;SA_BEER;0.44;0.43655;0.27543;0.6002;
GISAHBFA;PUBLISHED;2005;AFR;BFA;SA_WINE;0.09;0.08971;0.05458;0.12494;
GISAHBFA;PUBLISHED;2005;AFR;BFA;SA_SPIRITS;0.43;0.43385;0.26804;0.60936;
GISAHBFA;PUBLISHED;2005;AFR;BFA;SA_OTHER_ALCOHOL;4.90;4.90499;2.97835;6.76192;
GISAHBFA;PUBLISHED;2005;AFR;BFA;SA_TOTAL;5.87;5.86511;4.00408;7.68787;
GISAHBFA;PUBLISHED;2006;AFR;BFA;SA_BEER;0.44;0.4441;0.28179;0.61257;
GISAHBFA;PUBLISHED;2006;AFR;BFA;SA_WINE;0.09;0.09423;0.0579;0.13338;
GISAHBFA;PUBLISHED;2006;AFR;BFA;SA_SPIRITS;0.50;0.49702;0.29255;0.69246;
GISAHBFA;PUBLISHED;2006;AFR;BFA;SA_OTHER_ALCOHOL;4.63;4.63077;2.9093;6.58178;
GISAHBFA;PUBLISHED;2006;AFR;BFA;SA_TOTAL;5.67;5.66612;3.92993;7.65032;
GISAHBFA;PUBLISHED;2007;AFR;BFA;SA_BEER;0.45;0.44975;0.27624;0.62905;
GISAHBFA;PUBLISHED;2007;AFR;BFA;SA_WINE;0.07;0.074;0.04558;0.10174;
GISAHBFA;PUBLISHED;2007;AFR;BFA;SA_SPIRITS;0.20;0.20418;0.11638;0.28555;
