PAIS,NOMBRE PAIS,ANIO,TRAB.INDEX,ESPERANZA
GTM,Guatemala,2009,949.8890729340102,70.6414
GTM,Guatemala,2010,984.716149800483,70.8783
GTM,Guatemala,2011,1061.8403988840007,71.1769
GTM,Guatemala,2012,1157.4341720458651,71.463
GTM,Guatemala,2013,1234.280769166087,71.728
GTM,Guatemala,2014,1324.0498366817985,71.9638
GTM,Guatemala,2015,1393.9248246610437,72.103
GTM,Guatemala,2016,1472.170427270183,72.3547
GTM,Guatemala,2017,1582.8591014418846,72.5506
GTM,Guatemala,2018,1719.547169349634,72.7257
GTM,Guatemala,2019,1821.5351975478718,73.1289
GTM,Guatemala,2020,1640.7933168718403,71.7969
GUY,Guyana,2000,287.24364485655894,64.4833
GUY,Guyana,2001,281.80792961946094,64.7882
GUY,Guyana,2002,282.091625950437,64.7275
GUY,Guyana,2003,296.9669942104995,64.6003
GUY,Guyana,2004,325.08513054870554,64.9305
GUY,Guyana,2005,344.6061011370276,65.132
GUY,Guyana,2006,470.6280825634601,65.6666
GUY,Guyana,2007,735.4685007039735,66.2535
GUY,Guyana,2008,1251.549647503063,66.288
GUY,Guyana,2009,1372.781757293525,66.5625
GUY,Guyana,2010,1486.6938206370176,66.743
GUY,Guyana,2011,1596.6852076183231,66.9818
GUY,Guyana,2012,1758.851398221841,67.2298
GUY,Guyana,2013,1846.5450603926608,67.4727
GUY,Guyana,2014,1859.68015552071,67.8818
GUY,Guyana,2015,1828.4367364968668,68.2015
GUY,Guyana,2016,1871.886517761417,68.384
GUY,Guyana,2017,1975.1078535328127,68.6668
GUY,Guyana,2018,2101.0833535513802,68.8959
GUY,Guyana,2019,2230.234511832902,69.1239
GUY,Guyana,2020,2565.1896170535206,68.4858
HND,Honduras,2000,361.0538519220444,68.6618
HND,Honduras,2001,370.11100707473673,69.0061
HND,Honduras,2002,376.63413460615675,69.3664
HND,Honduras,2003,392.2955556621899,69.5071
HND,Honduras,2004,416.8889762161036,69.7957
HND,Honduras,2005,449.3878641884375,70.1041
HND,Honduras,2006,470.83343779615535,70.2608
HND,Honduras,2007,514.6761857560716,70.3765
HND,Honduras,2008,574.5660876423937,70.4414
HND,Honduras,2009,606.1454314801773,70.9113
HND,Honduras,2010,644.695203479617,71.0884
HND,Honduras,2011,677.236223081431,71.4386
HND,Honduras,2012,707.7004758415183,71.7344
HND,Honduras,2013,769.1278230303174,71.9629
HND,Honduras,2014,785.06444306951,72.2594
HND,Honduras,2015,821.2200896662579,72.4871
HND,Honduras,2016,838.8624620501761,72.5878
HND,Honduras,2017,925.5327915447381,72.6918
HND,Honduras,2018,997.7341060876724,72.8141
HND,Honduras,2019,980.2427890497906,72.8811
HND,Honduras,2020,828.6001121902048,71.4619
HTI,Haiti,2000,188.95307333512764,58.3652
HTI,Haiti,2001,219.26553844259544,58.4886
HTI,Haiti,2002,245.9705913128268,58.8545
HTI,Haiti,2003,224.76605677144593,59.5065
HTI,Haiti,2004,220.18663586778587,58.4755
HTI,Haiti,2005,233.0619929400805,60.4153
HTI,Haiti,2006,266.00553099996745,60.7632
HTI,Haiti,2007,302.57441126885874,61.103
HTI,Haiti,2008,345.408070433325,61.3322
HTI,Haiti,2009,404.5262575823792,61.7409
HTI,Haiti,2010,399.90283856642236,46.0185
HTI,Haiti,2011,446.78546818318625,61.6227
HTI,Haiti,2012,473.8615316749069,62.2915
HTI,Haiti,2013,511.0340264552137,62.6047
HTI,Haiti,2014,529.5160824142026,62.9875
HTI,Haiti,2015,525.0999388530172,63.2372
HTI,Haiti,2016,509.59312825046845,63.3922
HTI,Haiti,2017,505.2191226171917,63.8538
HTI,Haiti,2018,534.8427495978444,64.0188
HTI,Haiti,2019,529.2971309177535,64.2546
HTI,Haiti,2020,485.0769771944532,64.0518
JAM,Jamaica,2000,1182.8163052821828,70.9442
JAM,Jamaica,2001,1182.0068149546155,70.758
JAM,Jamaica,2002,1196.5563384125996,70.8882
JAM,Jamaica,2003,1296.0482284518043,70.8062
JAM,Jamaica,2004,1429.5601275148008,70.8603
JAM,Jamaica,2005,1520.7017518248176,71.0438
JAM,Jamaica,2006,1671.6983285737003,71.1993
JAM,Jamaica,2007,1803.950178977245,71.4179
JAM,Jamaica,2008,1907.7810781169062,71.6122
JAM,Jamaica,2009,1763.477009942275,72.1238
JAM,Jamaica,2010,1750.9084407414575,72.6219
JAM,Jamaica,2011,1835.6835974821759,73.0942
JAM,Jamaica,2012,1964.7090067723902,73.4335
JAM,Jamaica,2013,1995.0287542283058,73.4119
JAM,Jamaica,2014,1995.6158193505214,72.982
JAM,Jamaica,2015,1935.5954499167078,72.394
JAM,Jamaica,2016,1957.8302839199214,72.0198
JAM,Jamaica,2017,2075.765325686239,71.9114
JAM,Jamaica,2018,2223.7832354806187,71.793
JAM,Jamaica,2019,2395.115943990337,71.767
JAM,Jamaica,2020,1993.8790697297445,71.8686
KNA,St. Kitts and Nevis,2000,3745.4002676768823,69.7815
KNA,St. Kitts and Nevis,2001,3943.8805434733868,70.1995
KNA,St. Kitts and Nevis,2002,3982.5819164009918,70.4518
KNA,St. Kitts and Nevis,2003,4006.956436206256,70.7676
KNA,St. Kitts and Nevis,2004,4507.424821363038,71.303
KNA,St. Kitts and Nevis,2005,5192.932638948178,71.3616
KNA,St. Kitts and Nevis,2006,5711.839942534806,71.2885
KNA,St. Kitts and Nevis,2007,6150.866670853482,71.3668
KNA,St. Kitts and Nevis,2008,7491.336294574287,71.3738
KNA,St. Kitts and Nevis,2009,7472.43338340295,71.3927
