PAIS,NOMBRE PAIS,ANIO,ALFABETIZACION,ANIOS ESCOLARIDAD,ED.INDEX,ESPERANZA
DMA,Dominica,2014,94.0,7.9,7.426,69.4342
DMA,Dominica,2015,94.0,7.9,7.426,68.7266
DMA,Dominica,2016,94.0,8.0,7.52,70.1284
DMA,Dominica,2017,94.0,8.0,7.52,67.5253
DMA,Dominica,2018,94.0,8.1,7.613999999999999,73.59
DMA,Dominica,2019,94.0,8.1,7.613999999999999,73.5588
DMA,Dominica,2020,94.0,8.1,7.613999999999999,73.649
DOM,Dominican Republic,2000,86.996467590332,6.3,5.480777458190916,69.4232
DOM,Dominican Republic,2001,86.996467590332,6.4,5.567773925781249,69.6416
DOM,Dominican Republic,2002,86.996467590332,6.5,5.654770393371581,69.923
DOM,Dominican Republic,2003,87.24606628417966,6.7,5.845486441040038,70.2649
DOM,Dominican Republic,2004,87.49566497802732,6.8,5.949705218505858,70.3305
DOM,Dominican Republic,2005,87.74526367187498,6.9,6.054423193359375,70.8752
DOM,Dominican Republic,2006,87.99486236572264,7.0,6.159640365600585,71.1654
DOM,Dominican Republic,2007,88.2444610595703,7.1,6.265356735229491,71.371
DOM,Dominican Republic,2008,88.6758829752604,7.2,6.384663574218748,71.6577
DOM,Dominican Republic,2009,89.1073048909505,7.2,6.415725952148436,71.871
DOM,Dominican Republic,2010,89.5387268066406,7.2,6.446788330078124,72.0933
DOM,Dominican Republic,2011,90.1063766479492,7.3,6.577765495300292,72.2212
DOM,Dominican Republic,2012,90.1551818847656,7.4,6.671483459472655,72.5142
DOM,Dominican Republic,2013,90.8581466674805,7.5,6.814361000061037,72.7127
DOM,Dominican Republic,2014,91.7637634277344,7.6,6.9740460205078145,72.8665
DOM,Dominican Republic,2015,91.9912109375,7.8,7.175314453125,72.9531
DOM,Dominican Republic,2016,93.7784576416016,7.8,7.314719696044925,72.9867
DOM,Dominican Republic,2017,93.7784576416016,7.9,7.408498153686527,73.0629
DOM,Dominican Republic,2018,93.7784576416016,7.9,7.408498153686527,73.2323
DOM,Dominican Republic,2019,93.7784576416016,7.9,7.408498153686527,73.5767
DOM,Dominican Republic,2020,93.7784576416016,8.1,7.59605506896973,72.8894
ECU,Ecuador,2000,90.9840316772461,6.9,6.27789818572998,72.8394
ECU,Ecuador,2001,90.9840316772461,7.0,6.368882217407227,73.2395
ECU,Ecuador,2002,91.16949081420898,7.0,6.381864356994629,73.6134
ECU,Ecuador,2003,91.35494995117186,7.1,6.486201446533202,73.9751
ECU,Ecuador,2004,91.54040908813474,7.1,6.499369045257565,74.2788
ECU,Ecuador,2005,91.72586822509763,7.2,6.604262512207029,74.5144
ECU,Ecuador,2006,91.91132736206052,7.3,6.709526897430417,74.689
ECU,Ecuador,2007,92.0967864990234,7.3,6.723065414428707,74.8445
ECU,Ecuador,2008,92.3900527954102,7.7,7.114034065246585,74.983
ECU,Ecuador,2009,92.2497634887695,7.7,7.103231788635251,75.1841
ECU,Ecuador,2010,91.8540420532227,7.7,7.072761238098147,75.4301
ECU,Ecuador,2011,91.5868988037109,7.8,7.1437781066894495,75.7425
ECU,Ecuador,2012,92.0647277832031,7.9,7.273113494873044,76.0616
ECU,Ecuador,2013,93.2946319580078,8.1,7.556865188598632,76.3694
ECU,Ecuador,2014,94.2226409912109,8.3,7.820479202270505,76.6221
ECU,Ecuador,2015,94.4556579589844,8.4,7.934275268554691,76.7893
ECU,Ecuador,2016,94.350227355957,8.7,8.208469779968258,76.7634
ECU,Ecuador,2017,92.8297882080078,8.7,8.076191574096677,76.9725
ECU,Ecuador,2018,93.09522501627603,8.8,8.192379801432292,77.0938
ECU,Ecuador,2019,93.36066182454427,8.8,8.215738240559896,77.2971
ECU,Ecuador,2020,93.6260986328125,8.9,8.332722778320313,72.1535
GRD,Grenada,2000,98.5999984741211,7.3,7.19779988861084,72.7829
GRD,Grenada,2001,98.5999984741211,7.3,7.19779988861084,73.1181
GRD,Grenada,2002,98.5999984741211,7.4,7.296399887084962,73.167
