PAIS,NOMBRE PAIS,ANIO,FUERZA LABORAL,DESEMPLEO,EMPLEADOS,INGRESO MEDIO PC,TRAB.INDEX,POBLACION,ESPERANZA
BRB,Barbados,2005,152684.0,9.07999992370605,138820.0,13240.0,6651.624203821656,276320.0,74.8901
BRB,Barbados,2006,149927.0,8.72999954223633,136838.0,14240.0,7022.51777637625,277475.0,75.0683
BRB,Barbados,2007,150785.0,7.40999984741211,139612.0,15520.0,7774.562129307035,278701.0,75.3424
BRB,Barbados,2008,151391.0,8.11999988555908,139098.0,16160.0,8029.490258835633,279946.0,75.4471
BRB,Barbados,2009,150815.0,10.0200004577637,135703.0,15740.0,7598.406371950894,281107.0,75.678
BRB,Barbados,2010,150802.0,10.6899995803833,134681.0,15540.0,7418.336659211501,282131.0,75.7115
BRB,Barbados,2011,154038.0,11.1899995803833,136801.0,15040.0,7270.606211592759,282987.0,75.9166
BRB,Barbados,2012,151737.0,11.5900001525879,134151.0,15730.0,7438.174502463888,283698.0,76.0987
BRB,Barbados,2013,153789.0,11.5500001907349,136026.0,15660.0,7492.83192751166,284294.0,76.2752
BRB,Barbados,2014,148096.0,12.1700000762939,130073.0,15630.0,7137.8600544193805,284825.0,76.4758
BRB,Barbados,2015,149130.0,9.80000019073486,134515.0,15760.0,7429.918654736495,285327.0,76.6502
BRB,Barbados,2016,153451.0,8.25,140791.0,15940.0,7852.4291282654185,285798.0,76.8149
BRB,Barbados,2017,151745.0,8.61999988555908,138665.0,16090.0,7794.877004077155,286229.0,76.936
BRB,Barbados,2018,150615.0,8.31999969482422,138084.0,16610.0,8001.588194250628,286640.0,77.067
BRB,Barbados,2019,148325.0,8.40999984741211,135851.0,17130.0,8107.8653826723485,287021.0,77.2569
BRB,Barbados,2020,141940.0,10.3769998550415,127211.0,15750.0,6972.078776216111,287371.0,77.3929
CAN,Canada,2000,16311911.0,6.82999992370605,15197807.0,22620.0,11203.070428502107,30685730.0,79.2335
CAN,Canada,2001,16594438.0,7.21999979019165,15396320.0,23030.0,11430.268842601676,31020902.0,79.4507
CAN,Canada,2002,17078583.0,7.65999984741211,15770364.0,23610.0,11873.002425791083,31360079.0,79.568
CAN,Canada,2003,17472797.0,7.57000017166138,16150106.0,25860.0,13198.121969807384,31644028.0,79.7396
CAN,Canada,2004,17680867.0,7.19000005722046,16409613.0,29900.0,15361.220009420596,31940655.0,80.0332
CAN,Canada,2005,17821886.0,6.76000022888184,16617126.0,34810.0,17939.665896212515,32243753.0,80.1364
CAN,Canada,2006,18030705.0,6.32000017166138,16891164.0,38510.0,19970.994156980647,32571174.0,80.5466
CAN,Canada,2007,18379605.0,6.03999996185303,17269477.0,43090.0,22625.83837404727,32889025.0,80.5495
CAN,Canada,2008,18667574.0,6.1399998664856,17521385.0,45650.0,24057.761194519175,33247118.0,80.7388
CAN,Canada,2009,18799155.0,8.34000015258789,17231305.0,43230.0,22150.871003938726,33628895.0,81.0737
CAN,Canada,2010,19001081.0,8.0600004196167,17469594.0,44490.0,22856.190974774247,34004889.0,81.3469
CAN,Canada,2011,19147395.0,7.51000022888184,17709426.0,47190.0,24336.75501570677,34339328.0,81.5286
CAN,Canada,2012,19322866.0,7.28999996185303,17914229.0,51080.0,26359.767397926993,34714222.0,81.7221
CAN,Canada,2013,19546552.0,7.07000017166138,18164611.0,52800.0,27337.81940939181,35082954.0,81.8029
CAN,Canada,2014,19629145.0,6.90999984741211,18272771.0,52200.0,26916.131096960038,35437435.0,81.8545
CAN,Canada,2015,19747709.0,6.90999984741211,18383142.0,47590.0,24503.710671971035,35702908.0,81.9246
CAN,Canada,2016,19955331.0,7.0,18558458.0,43890.0,22557.249888928083,36109487.0,82.0434
CAN,Canada,2017,20218237.0,6.34000015258789,18936401.0,42900.0,22229.20664406162,36545236.0,82.0192
CAN,Canada,2018,20396646.0,5.82999992370605,19207522.0,45080.0,23360.936987489356,37065084.0,82.0508
CAN,Canada,2019,20792599.0,5.65999984741211,19615738.0,46540.0,24278.898496671518,37601230.0,82.3628
CAN,Canada,2020,20509919.0,9.46000003814697,18569681.0,43540.0,21256.134145401433,38037204.0,82.0471
CHL,Chile,2000,6233433.0,10.4899997711182,5579546.0,5080.0,1847.4414727861117,15342350.0,76.8695
CHL,Chile,2001,6247071.0,10.3900003433228,5598000.0,4830.0,1742.59763012796,15516112.0,76.7726
CHL,Chile,2002,6301163.0,10.1700000762939,5660335.0,4570.0,1649.2635682317216,15684413.0,77.4445
CHL,Chile,2003,6473698.0,9.77000045776367,5841218.0,4620.0,1702.6514063497557,15849649.0,77.3867
CHL,Chile,2004,6633642.0,10.1599998474121,5959664.0,5260.0,1957.407895561728,16014972.0,77.6161
CHL,Chile,2005,6795422.0,9.34000015258789,6160730.0,6260.0,2383.170844097649,16182713.0,78.0159
CHL,Chile,2006,7058723.0,9.02000045776367,6422026.0,7420.0,2913.6575575161023,16354507.0,78.261
CHL,Chile,2007,7245422.0,8.43000030517578,6634633.0,8770.0,3519.965148034195,16530201.0,77.8258
CHL,Chile,2008,7529103.0,9.28999996185303,6829649.0,10030.0,4099.852406490086,16708255.0,78.4841
CHL,Chile,2009,7632661.0,11.3100004196167,6769407.0,9950.0,3988.7993432974554,16886184.0,78.7409
CHL,Chile,2010,7797414.0,8.42000007629395,7140872.0,10790.0,4515.743231763213,17062531.0,78.5015
CHL,Chile,2011,8086638.0,7.34000015258789,7493079.0,11930.0,5187.106319265917,17233584.0,79.1099
CHL,Chile,2012,8164043.0,6.65999984741211,7620318.0,14270.0,6249.4077196913,17400359.0,79.0233
CHL,Chile,2013,8281662.0,6.21000003814697,7767371.0,15180.0,6710.219273686822,17571511.0,79.3391
CHL,Chile,2014,8432818.0,6.65999984741211,7871192.0,14770.0,6546.410765174487,17758969.0,79.4726
CHL,Chile,2015,8542744.0,6.51000022888184,7986611.0,14130.0,6280.18129475536,17969356.0,79.746
CHL,Chile,2016,8652497.0,6.73999977111816,8069319.0,13340.0,5911.59810121021,18209072.0,80.0794
CHL,Chile,2017,8846878.0,6.96000003814697,8231135.0,13260.0,5909.165111704191,18470435.0,80.3501
CHL,Chile,2018,8993608.0,7.23000001907349,8343370.0,14580.0,6495.021433415668,18729166.0,80.1334
CHL,Chile,2019,9090403.0,7.28999996185303,8427713.0,14900.0,6625.827975729256,18952035.0,80.3263
CHL,Chile,2020,8537487.0,11.1800003051758,7582996.0,13120.0,5204.426647563855,19116209.0,79.3769
COL,Colombia,2000,18071395.0,20.5200004577637,14363145.0,2340.0,848.0895529430824,39629965.0,71.3201
COL,Colombia,2001,18485766.0,15.039999961853,15705507.0,2330.0,909.0289971004539,40255956.0,71.502
COL,Colombia,2002,18594245.0,14.4799995422363,15901798.0,2370.0,922.0043198148479,40875363.0,71.9389
COL,Colombia,2003,19221667.0,13.2200002670288,16680563.0,2370.0,952.9711766056939,41483872.0,72.3606
COL,Colombia,2004,19187151.0,12.7399997711182,16742708.0,2620.0,1042.5407348468138,42075953.0,72.6951
COL,Colombia,2005,19416752.0,11.0600004196167,17269259.0,3000.0,1214.78390022672,42647731.0,73.0814
COL,Colombia,2006,19720231.0,11.289999961853,17493817.0,3500.0,1417.2935768168354,43200901.0,73.468
COL,Colombia,2007,19577933.0,10.25,17571195.0,4120.0,1655.1769885767621,43737512.0,73.8372
COL,Colombia,2008,20142417.0,10.4899997711182,18029478.0,4710.0,1918.8542561952136,44254972.0,74.295
COL,Colombia,2009,21482206.0,11.289999961853,19056865.0,5140.0,2188.875260351641,44750054.0,74.7418
COL,Colombia,2010,22287035.0,10.9799995422363,19839919.0,5630.0,2469.9707545098095,45222699.0,75.0327
COL,Colombia,2011,22936897.0,10.1099996566772,20617977.0,6320.0,2853.6525548933796,45662747.0,75.3198
COL,Colombia,2012,23642905.0,9.73999977111816,21340086.0,7290.0,3376.381824605631,46075721.0,75.5973
COL,Colombia,2013,23895273.0,9.05000019073486,21732751.0,7960.0,3720.6337758507857,46495492.0,75.8267
COL,Colombia,2014,24346029.0,8.56999969482422,22259574.0,8210.0,3890.9948580413957,46967706.0,76.0427
COL,Colombia,2015,24918312.0,8.30000019073486,22850092.0,7330.0,3524.5964531600534,47520667.0,76.2573
COL,Colombia,2016,25273396.0,8.6899995803833,23077138.0,6460.0,3094.5129827374535,48175048.0,76.4713
COL,Colombia,2017,25756727.0,8.86999988555908,23472105.0,5940.0,2850.6388959245096,48909844.0,76.6456
COL,Colombia,2018,26125205.0,9.10999965667725,23745199.0,6270.0,2997.97083916218,49661056.0,76.7479
COL,Colombia,2019,26284990.0,9.96000003814697,23667005.0,6570.0,3088.8745203239537,50339443.0,76.7523
COL,Colombia,2020,24826218.0,15.039999961853,21092355.0,5830.0,2416.695359681263,50882884.0,74.7692
CRI,Costa Rica,2000,1605783.0,5.07999992370605,1524209.0,3570.0,1373.2759695020832,3962369.0,77.5857
CRI,Costa Rica,2001,1711510.0,5.92000007629395,1610189.0,3670.0,1464.8699131448755,4034074.0,77.5453
CRI,Costa Rica,2002,1747203.0,6.32999992370605,1636605.0,3770.0,1504.539918096467,4100922.0,77.9833
CRI,Costa Rica,2003,1804626.0,6.55999994277954,1686243.0,4030.0,1631.9579241666713,4164053.0,78.072
CRI,Costa Rica,2004,1814560.0,6.3899998664856,1698610.0,4380.0,1760.8608534217435,4225156.0,78.3305
CRI,Costa Rica,2005,1930209.0,6.57000017166138,1803394.0,4640.0,1952.5703767864877,4285504.0,78.5053
