PAIS,NOMBRE PAIS,ANIO,RENTA RECURSOS,INDUSTRIA,PIB,INVERSION SALUD,INVERSION EDUCACION,INVERSION DESARROLLO,GINI,INVERS.,PIB.INV,IND.ESTADO,ESPERANZA
BOL,Bolivia,2005,11.7110948970037,26.2692194219914,9549077918.69677,5.07408142,7.80999994277954,0.22536001035145353,58.5,0.13109441373130992,1251830771.42615,9.169683670097424,64.3856
BOL,Bolivia,2006,14.4610551998218,27.652247464959,11451869202.1569,4.6608758,7.80999994277954,0.2082700090748924,56.7,0.12679145751854431,1451999187.4532027,9.461137769705504,64.7793
BOL,Bolivia,2007,14.600466672048,28.2897904061027,13120183207.6625,4.6968894,7.80999994277954,0.19118000779833128,54.5,0.1269806935057787,1666009962.6318564,9.843447937978347,65.0267
BOL,Bolivia,2008,12.3420729319787,29.7366397824222,16674324661.8681,4.60677242,7.80999994277954,0.17409000652177012,50.8,0.12590862369301312,2099441269.1862786,10.561245191938491,65.4459
BOL,Bolivia,2009,7.00363423165018,29.2286844945559,17339992193.7322,5.17444515,7.80999994277954,0.157000005245209,49.2,0.1314144509802475,2278725554.1410947,10.905064719084772,65.8803
BOL,Bolivia,2010,9.2878944041199,30.1439417460822,19649631308.1648,5.20230532,7.80999994277954,0.23120917379856154,47.650000000000006,0.13243514436578102,2602301759.0311756,11.260473070292965,66.1624
BOL,Bolivia,2011,12.8379632085661,30.3691066361261,23963033429.4364,5.17306805,7.07000017166138,0.3054183423519141,46.1,0.12548486564013295,3006998030.2228413,11.639956863917115,66.5337
BOL,Bolivia,2012,11.4725690418328,29.3342196293346,27084497481.9103,5.2539444,7.90000009536743,0.3796275109052667,46.6,0.13533572006272696,3665499969.251446,11.516477717177722,66.7046
BOL,Bolivia,2013,10.9041677869337,28.5181929044884,30659338885.6729,5.57465124,7.57999992370605,0.4538366794586193,47.6,0.13608487843164668,4172272405.0514545,11.275599555967688,67.0207
BOL,Bolivia,2014,8.91759503400311,27.6254998805738,32996188017.3661,5.89613628,8.26000022888184,0.5280458480119719,47.8,0.1468418235689381,4845220419.293582,11.229829156181719,67.1632
BOL,Bolivia,2015,3.8289410853846,25.2024162838659,33000198248.9146,6.55064964,8.9399995803833,0.6022550165653244,46.7,0.16092904236948624,5310690302.201023,11.495340056826057,67.3182
BOL,Bolivia,2016,3.32733197033546,25.3263589797711,33941126193.9219,6.83333063,8.85000038146973,0.676464185118677,45.3,0.16359795196588406,5552698732.741244,11.851138664389202,67.6277
BOL,Bolivia,2017,5.29143273381951,26.3699744281296,37508642170.767,6.4901948,8.65999984741211,0.7506733536720296,44.6,0.1590086800108414,5964199680.572641,12.038065730753676,67.7015
BOL,Bolivia,2018,5.06676014470709,26.2465894715173,40287647930.5355,6.64209032,8.89999961853027,0.8248825222253822,42.6,0.16366972460755652,6593868241.87694,12.604711231167709,67.748
BOL,Bolivia,2019,3.36219728217225,25.2102745511952,40895322850.9407,6.9233799,8.89999961853027,0.8990916907787347,41.6,0.16722471209309003,6838708589.702524,12.908297655829974,67.841
BOL,Bolivia,2020,2.98790543114644,23.4919320116415,36629843806.0781,7.628986359999999,8.89999961853027,0.9733008593320873,43.6,0.17502286837862358,6411060331.2007475,12.315193065520111,64.4667
BRA,Brazil,2000,2.18605115575512,23.0066186293679,655448188259.351,8.33459282,3.94893002510071,1.04751002788544,58.4,0.13331032872986148,87378013442.24622,9.332861523420913,69.7367
