id_pais,year, srv_sanit_bas
CHL,2004,94.28066581
CHL,2003,93.80314002
CHL,2002,93.32384055
CHL,2001,92.79446633
CHL,2000,92.24384971
CAN,2020,99.03286158
CAN,2019,99.03268117
CAN,2018,99.08828896
CAN,2017,99.14388406
CAN,2016,99.19947682
CAN,2015,99.25507123
CAN,2014,99.31064352
CAN,2013,99.36619078
CAN,2012,99.42171918
CAN,2011,99.47721571
CAN,2010,99.53213067
CAN,2009,99.5868457
CAN,2008,99.6414571
CAN,2007,99.69595411
CAN,2006,99.75033789
CAN,2005,99.80519484
CAN,2004,99.86008794
CAN,2003,99.8595732
CAN,2002,99.85906123
CAN,2001,99.85854953
CAN,2000,99.85639131
BRA,2020,90.07847103
BRA,2019,89.29879625
BRA,2018,88.49054496
BRA,2017,87.67795802
BRA,2016,86.86024254
BRA,2015,86.03796198
BRA,2014,85.21064211
BRA,2013,84.37851825
BRA,2012,83.54222598
BRA,2011,82.70058102
BRA,2010,81.85420444
BRA,2009,81.00652682
BRA,2008,80.1540827
BRA,2007,79.29597638
BRA,2006,78.43290643
BRA,2005,77.56479232
BRA,2004,76.691538
BRA,2003,75.81263724
BRA,2002,74.92797969
BRA,2001,74.03790294
BRA,2000,73.12880132
BOL,2020,65.75642485
BOL,2019,63.89830649
BOL,2018,62.06257966
BOL,2017,60.24970578
BOL,2016,58.45982722
BOL,2015,56.69117865
BOL,2014,54.94452469
BOL,2013,53.21966433
BOL,2012,51.50589073
BOL,2011,49.7965629
BOL,2010,48.10902933
BOL,2009,46.44376636
BOL,2008,44.80062579
BOL,2007,43.17945511
BOL,2006,41.5813814
BOL,2005,40.4716573
BOL,2004,39.35902795
BOL,2003,38.24250317
BOL,2002,37.12270953
BOL,2001,35.99628542
BOL,2000,34.85301548
BLZ,2020,88.21427557
BLZ,2019,88.19850332
BLZ,2018,88.18441736
BLZ,2017,87.85852351
BLZ,2016,87.53477608
BLZ,2015,87.21298382
BLZ,2014,86.89304318
BLZ,2013,86.57475779
BLZ,2012,86.25785653
BLZ,2011,85.94223553
BLZ,2010,85.62770732
BLZ,2009,85.31402216
BLZ,2008,84.99991216
BLZ,2007,84.68537986
BLZ,2006,84.37042619
BLZ,2005,84.05505264
BLZ,2004,83.73926084
BLZ,2003,83.41390156
BLZ,2002,83.08856932
BLZ,2001,82.76326435
BLZ,2000,82.43798885
BRB,2020,98.09246231
BRB,2019,98.09246231
BRB,2018,97.2834998
BRB,2017,97.2793785
BRB,2016,96.85555159
BRB,2015,96.35542276
BRB,2014,95.85529392
BRB,2013,95.35516509
BRB,2012,94.85503625
BRB,2011,94.35490741
BRB,2010,93.85477858
BRB,2009,93.35464974
BRB,2008,92.85452091
BRB,2007,92.35439207
BRB,2006,91.85426323
BRB,2005,91.3541344
BRB,2004,90.85400556
BRB,2003,90.35387673
BRB,2002,89.85374789
BRB,2001,89.35361906
BRB,2000,88.85349022
ARG,2020,95.41770247
ARG,2019,95.41770247
ARG,2018,95.41770247
ARG,2017,95.41770247
ARG,2016,95.41770247
ARG,2015,94.9480284
ARG,2014,94.48011382
ARG,2013,94.01399452
ARG,2012,93.55005363
ARG,2011,93.02688168
ARG,2010,92.50233092
ARG,2009,91.97501431
ARG,2008,91.44751476
ARG,2007,90.91980455
ARG,2006,90.3920797
ARG,2005,89.86410386
ARG,2004,89.33608423
ARG,2003,88.80778679
ARG,2002,88.27940072
ARG,2001,87.75030642
ARG,2000,87.22025186
ATG,2020,87.50428238
ATG,2019,87.50428238
ATG,2018,87.50428238
ATG,2017,87.50428238
ATG,2016,87.50428238
ATG,2015,87.50428238
ATG,2014,87.50428238
ATG,2013,87.50428238
ATG,2012,87.11236131
ATG,2011,86.72044024
ATG,2010,86.32851916
ATG,2009,85.93659809
ATG,2008,85.54467701
ATG,2007,85.15275594
ATG,2006,84.76083486
ATG,2005,84.36891379
ATG,2004,83.97699271
ATG,2003,83.58507164
ATG,2002,83.19315056
ATG,2001,82.80122949
ATG,2000,82.40930841
