Year,Country,Alcohol_pc
2010,TTO,5.9841700000000015
2011,TTO,5.902613333333334
2012,TTO,5.83743
2013,TTO,5.823333333333334
2014,TTO,5.843333333333334
2015,TTO,5.88
2016,TTO,5.906666666666666
2017,TTO,5.863333333333333
2018,TTO,5.756666666666667
2019,TTO,5.663333333333334
2020,TTO,5.693333333333334
2000,URY,7.8566666666666665
2001,URY,7.6215433333333324
2002,URY,7.318906666666667
2003,URY,6.700293333333334
2004,URY,6.127400000000001
2005,URY,5.7854600000000005
2006,URY,5.843676666666667
2007,URY,6.195313333333334
2008,URY,6.40731
2009,URY,6.49993
2010,URY,6.500783333333334
2011,URY,6.326696666666667
2012,URY,6.154473333333333
2013,URY,6.1866666666666665
2014,URY,6.329999999999999
2015,URY,6.373333333333334
2016,URY,6.19
2017,URY,5.8933333333333335
2018,URY,5.763333333333333
2019,URY,5.833333333333333
2020,URY,5.796666666666667
2000,USA,8.136666666666667
2001,USA,8.174483333333335
2002,USA,8.224916666666667
2003,USA,8.263916666666667
2004,USA,8.327
2005,USA,8.402700000000001
2006,USA,8.4784
2007,USA,8.5541
2008,USA,8.642416666666668
2009,USA,8.7055
2010,USA,8.718116666666665
2011,USA,8.657000000000002
2012,USA,8.629216666666666
2013,USA,8.69
2014,USA,8.773333333333333
2015,USA,8.813333333333334
2016,USA,8.79
2017,USA,8.816666666666665
2018,USA,8.853333333333333
2019,USA,8.903333333333334
2020,USA,8.916666666666666
2000,VCT,6.300000000000001
2001,VCT,6.01701
2002,VCT,5.645033333333333
2003,VCT,5.138929999999999
2004,VCT,5.251596666666667
2005,VCT,5.485130000000001
2006,VCT,5.872703333333334
2007,VCT,6.122616666666667
2008,VCT,6.263243333333333
2009,VCT,6.528946666666667
2010,VCT,6.783826666666667
2011,VCT,7.114976666666666
2012,VCT,7.071136666666667
2013,VCT,7.013333333333333
2014,VCT,6.9366666666666665
2015,VCT,6.963333333333334
2016,VCT,7.163333333333334
2017,VCT,7.4366666666666665
2018,VCT,7.666666666666667
2019,VCT,7.7
2020,VCT,7.599999999999999
2000,VEN,7.64
2001,VEN,7.720606666666666
2002,VEN,7.84744
2003,VEN,7.745543333333333
2004,VEN,7.179756666666667
2005,VEN,6.990903333333333
2006,VEN,7.3202500000000015
2007,VEN,7.978880000000001
2008,VEN,8.414876666666668
2009,VEN,8.556966666666668
2010,VEN,8.349260000000001
2011,VEN,7.8519499999999995
2012,VEN,7.342410000000001
2013,VEN,7.026666666666667
2014,VEN,6.840000000000001
2015,VEN,6.746666666666667
2016,VEN,6.550000000000001
2017,VEN,5.646666666666667
2018,VEN,4.5633333333333335
2019,VEN,3.3733333333333335
2020,VEN,2.833333333333334
